id;jornada;rival;resultado;numero_de_goles;corner;faltas
1;49352;Future ubiquitous he;Legacy;51685;44257;68050
2;52575;Fantastic Plastic Tu;olive;97522;95980;78230
3;44816;Multi-channelled New;Designer I;2634;15975;71233
4;8282;Analyst sticky recip;Grocery Se;17038;81167;38171
5;49691;Steel;Flat Virgi;8760;51460;25683
6;93323;strategic;Concrete;57770;38642;90679
7;45937;Handcrafted Proactiv;Sports;67610;27424;96794
8;22888;SQL;bleeding-e;69573;71627;46177
9;41360;Avon;HTTP depos;14587;10041;21364
10;34822;Orchestrator Rand Of;Ball invoi;22221;61559;75408
